Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019
16118.0,21682,325.0,447.0,96400.0,688.0,72,00772,16107.0,19529.0,276.0,368.0,91100.0,723.0
18256.0,19731,361.0,494.0,109900.0,798.0,72,00773,21850.0,18224.0,333.0,461.0,111200.0,791.0
18167.0,1585,392.0,520.0,154900.0,1108.0,72,00775,22667.0,1299.0,423.0,578.0,148800.0,1563.0
19398.0,40863,337.0,449.0,117400.0,823.0,72,00777,19830.0,39609.0,341.0,443.0,104300.0,778.0
27872.0,46569,431.0,563.0,163700.0,1128.0,72,00778,35183.0,46707.0,538.0,622.0,141900.0,1099.0
22197.0,13678,425.0,552.0,122400.0,1055.0,72,00780,21663.0,11016.0,579.0,773.0,96000.0,786.0
13472.0,18595,271.0,355.0,95300.0,756.0,72,00782,13683.0,17670.0,370.0,453.0,94800.0,746.0
16860.0,35856,335.0,414.0,109100.0,761.0,72,00783,14995.0,32769.0,347.0,514.0,91600.0,733.0
17048.0,43251,285.0,438.0,97300.0,750.0,72,00784,17415.0,39823.0,263.0,376.0,86400.0,701.0
21167.0,327,-666666666.0,-666666666.0,155400.0,-666666666.0,72,00786,37552.0,360.0,-666666666.0,-666666666.0,103000.0,-666666666.0
20357.0,51757,345.0,473.0,112900.0,879.0,72,00791,20269.0,48433.0,350.0,429.0,97400.0,835.0
14998.0,30462,277.0,385.0,107700.0,721.0,72,00794,17073.0,28434.0,315.0,409.0,99100.0,737.0
18890.0,47106,344.0,442.0,104700.0,768.0,72,00795,20471.0,43873.0,379.0,508.0,91300.0,753.0
17256.0,6428,442.0,501.0,281200.0,2548.0,72,00901,21469.0,6617.0,439.0,522.0,288700.0,2103.0
33056.0,43,-666666666.0,-666666666.0,-666666666.0,-666666666.0,72,00906,106518.0,191.0,-666666666.0,-666666666.0,357700.0,2439.0
30994.0,17910,594.0,732.0,242600.0,1488.0,72,00907,36495.0,15151.0,686.0,803.0,231900.0,1651.0
16309.0,6071,380.0,462.0,164400.0,1152.0,72,00909,19443.0,4698.0,415.0,510.0,129000.0,984.0
28132.0,7425,525.0,601.0,317400.0,1707.0,72,00911,35470.0,7089.0,621.0,726.0,260700.0,1377.0
19781.0,6414,431.0,581.0,161100.0,956.0,72,00912,22292.0,5660.0,463.0,537.0,124200.0,930.0
6809.0,8179,99.0,145.0,378200.0,2221.0,72,00913,6493.0,7890.0,136.0,214.0,370500.0,1919.0
13773.0,30642,319.0,392.0,100300.0,835.0,72,00915,12802.0,24888.0,329.0,408.0,87800.0,795.0
15458.0,19723,367.0,459.0,119500.0,940.0,72,00917,15220.0,18196.0,358.0,459.0,115600.0,945.0
