Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019
73105.0,16136.0,836.0,946.0,239300.0,1866.0,25,1501,85432.0,16619.0,819.0,935.0,264400.0,1917.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1539.216,1562.498,0.2526583954585869,0.21947251615319785
88681.0,2917.0,1000.0,1250.0,380200.0,2506.0,25,1503,99297.0,3182.0,734.0,756.0,422600.0,2543.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,2059.8687999999997,1897.8929999999998,0.2787341775577632,0.22935955769056462
72699.0,9055.0,811.0,930.0,263500.0,1950.0,25,1504,95375.0,9263.0,827.0,978.0,291100.0,2032.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1587.696,1651.506,0.2620717203812982,0.20779105635648756
102422.0,4399.0,946.0,1148.0,346400.0,2309.0,25,1505,97591.0,4623.0,859.0,947.0,385900.0,2220.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1896.6127999999999,1760.447,0.22221157173263553,0.2164683628613294
63889.0,3396.0,696.0,856.0,228900.0,1677.0,25,1506,70338.0,3441.0,775.0,947.0,218900.0,1670.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1385.3808,1408.997,0.2602102020692138,0.24038164292416617
91287.0,13126.0,761.0,887.0,297900.0,1964.0,25,1507,101111.0,13550.0,896.0,1007.0,297700.0,1820.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1581.4496,1526.507,0.20788716027473791,0.18116806282204706
64867.0,13675.0,833.0,1001.0,246800.0,1893.0,25,1510,67634.0,13935.0,1019.0,1167.0,248200.0,1777.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1576.1616,1556.79,0.29158029814851927,0.27621433007067453
71020.0,2263.0,842.0,939.0,240000.0,1768.0,25,1515,82946.0,2040.0,785.0,982.0,249200.0,1642.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1473.5391999999997,1403.74,0.24897874401577014,0.20308248740144189
84390.0,8624.0,978.0,1082.0,286100.0,1988.0,25,1516,99943.0,8859.0,828.0,974.0,320600.0,2040.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1666.1888,1655.174,0.23692695343050124,0.1987341584703281
48676.0,2418.0,615.0,668.0,281100.0,1909.0,25,1518,72470.0,3947.0,1007.0,1082.0,339100.0,2378.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1468.1967999999997,1910.1439999999998,0.3619517133700385,0.31629264523251
