Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME
75468.0,45193.0,926.0,1072.0,265900.0,1904.0,09,6492,80884.0,44693.0,981.0,1094.0,268000,1847.0,35300.0,New Haven-Milford CT
78000.0,6952.0,961.0,1252.0,358300.0,2135.0,09,6498,79551.0,6919.0,1081.0,1215.0,367300,2155.0,25540.0,Hartford-West Hartford-East Hartford CT
45500.0,2571.0,1324.0,1383.0,318800.0,2342.0,09,6510,61250.0,2576.0,1411.0,1551.0,335500,3164.0,35300.0,New Haven-Milford CT
36600.0,52652.0,965.0,1141.0,224300.0,2219.0,09,6511,41904.0,53707.0,1086.0,1259.0,225300,2259.0,35300.0,New Haven-Milford CT
62208.0,28618.0,951.0,1120.0,213400.0,2001.0,09,6512,64201.0,28444.0,1055.0,1228.0,211800,1943.0,35300.0,New Haven-Milford CT
35397.0,40660.0,796.0,973.0,173700.0,1748.0,09,6513,45502.0,40037.0,891.0,1084.0,183200,1746.0,35300.0,New Haven-Milford CT
64574.0,27039.0,1131.0,1247.0,201600.0,1905.0,09,6514,73078.0,27534.0,1147.0,1337.0,198100,1979.0,35300.0,New Haven-Milford CT
51623.0,18462.0,876.0,1051.0,230200.0,2113.0,09,6515,52048.0,18344.0,1006.0,1192.0,223100,2049.0,35300.0,New Haven-Milford CT
49993.0,55290.0,885.0,1081.0,210300.0,2020.0,09,6516,62985.0,54763.0,986.0,1164.0,193800,1955.0,35300.0,New Haven-Milford CT
69446.0,15246.0,957.0,1103.0,256600.0,2122.0,09,6517,85489.0,14313.0,925.0,1073.0,243500,2248.0,35300.0,New Haven-Milford CT
72681.0,19288.0,1312.0,1444.0,258900.0,2075.0,09,6518,81358.0,19024.0,1592.0,1692.0,246800,2540.0,35300.0,New Haven-Milford CT
24533.0,16533.0,852.0,1080.0,159700.0,1608.0,09,6519,29332.0,15690.0,903.0,1129.0,171700,1682.0,35300.0,New Haven-Milford CT
97500.0,5546.0,898.0,1110.0,348300.0,2475.0,09,6524,129133.0,5513.0,881.0,1142.0,381500,2815.0,35300.0,New Haven-Milford CT
134045.0,8969.0,1265.0,1449.0,468000.0,3609.0,09,6525,157610.0,8827.0,1341.0,1375.0,464400,3264.0,35300.0,New Haven-Milford CT
33270.0,30095.0,862.0,1059.0,174000.0,2106.0,09,6604,36738.0,27152.0,943.0,1130.0,192000,2032.0,14860.0,Bridgeport-Stamford-Norwalk CT
42443.0,23211.0,883.0,1099.0,224200.0,2138.0,09,6605,44372.0,24635.0,964.0,1170.0,227400,2165.0,14860.0,Bridgeport-Stamford-Norwalk CT
51823.0,49027.0,942.0,1170.0,186500.0,2064.0,09,6606,58538.0,47422.0,1058.0,1231.0,176900,1976.0,14860.0,Bridgeport-Stamford-Norwalk CT
32924.0,8120.0,910.0,1184.0,138800.0,1748.0,09,6607,42103.0,8995.0,920.0,1182.0,128500,1776.0,14860.0,Bridgeport-Stamford-Norwalk CT
30461.0,14124.0,835.0,1049.0,166800.0,1808.0,09,6608,34743.0,14263.0,951.0,1168.0,150600,1809.0,14860.0,Bridgeport-Stamford-Norwalk CT
39222.0,22103.0,862.0,1080.0,150500.0,1700.0,09,6610,45478.0,23172.0,904.0,1102.0,154900,1766.0,14860.0,Bridgeport-Stamford-Norwalk CT
108554.0,36444.0,1638.0,1884.0,399700.0,2878.0,09,6611,122494.0,35990.0,1760.0,2028.0,399200,2917.0,14860.0,Bridgeport-Stamford-Norwalk CT
132000.0,7593.0,1000.0,1829.0,649900.0,4001.0,09,6612,157617.0,7529.0,1264.0,1833.0,641500,3881.0,14860.0,Bridgeport-Stamford-Norwalk CT
77687.0,34063.0,1078.0,1350.0,264800.0,2225.0,09,6614,87077.0,33299.0,1237.0,1404.0,267900,2177.0,14860.0,Bridgeport-Stamford-Norwalk CT
52677.0,18029.0,885.0,1088.0,234200.0,1967.0,09,6615,66815.0,18821.0,1008.0,1204.0,229100,2070.0,14860.0,Bridgeport-Stamford-Norwalk CT
37402.0,26009.0,702.0,899.0,125800.0,1582.0,09,6704,40625.0,25136.0,770.0,954.0,127300,1490.0,35300.0,New Haven-Milford CT
45309.0,27515.0,767.0,932.0,131700.0,1557.0,09,6705,46228.0,25653.0,923.0,1052.0,124500,1562.0,35300.0,New Haven-Milford CT
39682.0,14454.0,706.0,872.0,138400.0,1636.0,09,6706,43017.0,13997.0,747.0,926.0,117700,1518.0,35300.0,New Haven-Milford CT
51175.0,28809.0,777.0,959.0,150100.0,1682.0,09,6708,53438.0,29619.0,838.0,1027.0,141000,1656.0,35300.0,New Haven-Milford CT
31663.0,10081.0,727.0,865.0,158400.0,1824.0,09,6710,33929.0,10774.0,791.0,1005.0,145800,1809.0,35300.0,New Haven-Milford CT
100592.0,9615.0,827.0,1011.0,298500.0,2157.0,09,6712,101389.0,9657.0,1096.0,1274.0,290600,2082.0,35300.0,New Haven-Milford CT
83317.0,16724.0,757.0,880.0,243300.0,1906.0,09,6716,95257.0,16615.0,1032.0,1362.0,247500,1952.0,35300.0,New Haven-Milford CT
84583.0,1522.0,732.0,750.0,261600.0,1683.0,09,6750,63542.0,1047.0,686.0,730.0,261100,1783.0,,
87857.0,3508.0,768.0,849.0,356600.0,2312.0,09,6751,98409.0,3433.0,1138.0,1391.0,328500,2159.0,,
93750.0,1747.0,1101.0,1351.0,498800.0,2357.0,09,6752,112778.0,1718.0,1511.0,1870.0,476100,2500.0,,
88194.0,1648.0,938.0,1239.0,374300.0,2250.0,09,6754,87453.0,1789.0,1463.0,1583.0,386000,2137.0,,
80741.0,2810.0,917.0,1103.0,383700.0,2125.0,09,6756,109205.0,2842.0,1500.0,1810.0,329700,2127.0,,
56696.0,2087.0,994.0,1214.0,363600.0,2227.0,09,6757,78125.0,1974.0,1157.0,1433.0,341600,1900.0,,
73571.0,5683.0,923.0,1099.0,341300.0,2248.0,09,6759,93198.0,5843.0,1059.0,1159.0,356600,2287.0,,
95436.0,7571.0,827.0,967.0,350100.0,2435.0,09,6762,121891.0,7701.0,971.0,1179.0,341600,2518.0,35300.0,New Haven-Milford CT
73438.0,1916.0,778.0,796.0,347700.0,2173.0,09,6763,81625.0,1864.0,782.0,936.0,325900,2023.0,,
58603.0,31919.0,825.0,988.0,192100.0,1846.0,09,6770,74870.0,31557.0,891.0,1066.0,183600,1816.0,35300.0,New Haven-Milford CT
78593.0,26814.0,948.0,1150.0,301900.0,2165.0,09,6776,89102.0,26023.0,1083.0,1248.0,303600,2193.0,,
76797.0,1398.0,920.0,1139.0,399600.0,2408.0,09,6777,106618.0,1352.0,1179.0,1429.0,376700,2411.0,,
63860.0,8427.0,813.0,891.0,197100.0,1737.0,09,6779,72591.0,7783.0,902.0,1124.0,195900,1784.0,35300.0,New Haven-Milford CT
68793.0,2172.0,830.0,970.0,214900.0,1873.0,09,6782,89940.0,2434.0,888.0,994.0,223100,1890.0,,
90078.0,2273.0,1186.0,1397.0,586200.0,2725.0,09,6783,118603.0,2094.0,1125.0,1194.0,599900,2752.0,,
115173.0,3650.0,1641.0,2001.0,485300.0,2428.0,09,6784,99704.0,3740.0,1613.0,2026.0,459900,2527.0,14860.0,Bridgeport-Stamford-Norwalk CT
71958.0,9913.0,842.0,992.0,196700.0,1801.0,09,6786,79172.0,9277.0,812.0,1015.0,192900,1820.0,,
73679.0,7793.0,759.0,839.0,226500.0,1866.0,09,6787,68208.0,7758.0,815.0,1010.0,221400,1805.0,,
55382.0,35826.0,713.0,865.0,172800.0,1650.0,09,6790,63057.0,34433.0,783.0,949.0,153700,1605.0,,
91599.0,5605.0,575.0,716.0,281400.0,1993.0,09,6791,111202.0,5456.0,922.0,944.0,310300,2262.0,,
78148.0,1055.0,1173.0,1201.0,677500.0,3841.0,09,6793,126635.0,1453.0,1217.0,1704.0,718300,2875.0,,
88698.0,1495.0,943.0,1106.0,458900.0,2622.0,09,6794,95500.0,909.0,1149.0,1424.0,335700,1966.0,,
97366.0,13832.0,720.0,869.0,291600.0,2131.0,09,6795,90374.0,13861.0,887.0,987.0,257700,2080.0,,
80000.0,998.0,1018.0,1268.0,424400.0,2683.0,09,6796,90667.0,972.0,942.0,1030.0,439200,2260.0,,
84868.0,9851.0,1038.0,1133.0,358800.0,2310.0,09,6798,81362.0,9562.0,1021.0,1190.0,350100,2369.0,,
85668.0,19096.0,1086.0,1301.0,337400.0,2460.0,09,6801,101806.0,19634.0,1082.0,1252.0,342400,2604.0,14860.0,Bridgeport-Stamford-Norwalk CT
106496.0,16834.0,1165.0,1333.0,365400.0,2515.0,09,6804,112885.0,17292.0,1453.0,1640.0,377200,2649.0,14860.0,Bridgeport-Stamford-Norwalk CT
