Zipcode,Household Income,Income per Capita,Population,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Costs,Median Age,Year,MA,MANAME
93212,36875,8963,24384,613,795,124300,1033,34.6,2017,25260,Hanford-Corcoran CA
93215,39032,12566,55845,694,831,168600,1200,29.9,2017,12540,Bakersfield CA
93218,26964,13045,889,614,765,104600,1058,30.7,2017,47300,Visalia-Porterville CA
93219,27941,10605,10375,560,664,127900,949,26.8,2017,47300,Visalia-Porterville CA
93221,51408,25205,15036,676,844,211500,1479,35.3,2017,47300,Visalia-Porterville CA
93222,60833,31391,1420,1118,1459,189300,1476,49.3,2017,12540,Bakersfield CA
93223,37571,12374,10738,657,741,133900,1002,28,2017,47300,Visalia-Porterville CA
93224,51250,21786,402,546,850,95000,1200,39.8,2017,12540,Bakersfield CA
93225,40296,20532,5319,769,850,170100,1327,38.5,2017,12540,Bakersfield CA
93226,64286,37263,195,721,892,196300,1383,61.1,2017,12540,Bakersfield CA
93230,54697,24361,66235,747,922,196000,1426,33.2,2017,25260,Hanford-Corcoran CA
93234,25461,9349,7028,565,663,120700,1034,27,2017,23420,Fresno CA
93235,29898,11441,3804,587,748,106300,794,30.1,2017,47300,Visalia-Porterville CA
93239,54830,13158,1688,678,856,87300,957,32.3,2017,25260,Hanford-Corcoran CA
93240,35783,22686,6960,646,796,118700,1132,51.2,2017,12540,Bakersfield CA
93241,35872,11632,16969,642,764,110000,968,26.7,2017,12540,Bakersfield CA
93242,40417,18770,3352,638,930,148600,1318,32.7,2017,23420,Fresno CA
93245,54508,23502,37907,907,1050,206400,1577,27.3,2017,25260,Hanford-Corcoran CA
93247,33507,13698,18487,601,738,148800,1136,31.5,2017,47300,Visalia-Porterville CA
93249,34464,10010,2264,531,664,113300,1233,22.5,2017,12540,Bakersfield CA
93250,35738,11082,15523,708,873,155300,1094,26.6,2017,12540,Bakersfield CA
93251,43594,20004,243,342,450,45400,1813,47.8,2017,12540,Bakersfield CA
93252,33611,11457,3188,611,781,77600,974,40.1,2017,12540,Bakersfield CA
93254,44886,18225,626,667,937,90000,1347,32.2,2017,42200,Santa Maria-Santa Barbara CA
93256,29173,8871,6113,678,781,111500,950,20.8,2017,47300,Visalia-Porterville CA
93257,39645,16526,76676,688,852,164600,1239,30.2,2017,47300,Visalia-Porterville CA
93258,22500,10461,2254,645,778,92900,776,32.7,2017,47300,Visalia-Porterville CA
93261,25169,8539,3014,544,641,107000,843,28.7,2017,47300,Visalia-Porterville CA
93263,41173,15613,20710,661,801,165000,1322,27.5,2017,12540,Bakersfield CA
93265,59556,39402,3388,902,1070,260500,1537,55.3,2017,47300,Visalia-Porterville CA
93266,35761,10696,1440,542,787,149300,1000,26.9,2017,25260,Hanford-Corcoran CA
93267,31959,13999,7045,548,736,145100,1181,30.8,2017,47300,Visalia-Porterville CA
93268,45128,20526,17620,675,809,134700,1113,29.6,2017,12540,Bakersfield CA
93270,38322,15323,5605,612,798,187000,1243,29.1,2017,47300,Visalia-Porterville CA
93271,63424,36954,2268,863,1039,291300,1787,57,2017,47300,Visalia-Porterville CA
93272,33995,11404,4186,677,879,129400,926,27.2,2017,47300,Visalia-Porterville CA
93274,49209,19359,72918,769,957,180300,1380,29.3,2017,47300,Visalia-Porterville CA
93277,55680,26139,52785,782,944,196200,1442,33.7,2017,47300,Visalia-Porterville CA
93280,36565,11535,27552,601,705,156600,1152,28.7,2017,12540,Bakersfield CA
93283,31071,16610,2086,505,597,100400,852,53.6,2017,12540,Bakersfield CA
93286,41070,16124,9916,563,694,154700,1188,30,2017,47300,Visalia-Porterville CA
93291,51054,22840,56627,750,905,247400,1545,30.3,2017,47300,Visalia-Porterville CA
93292,51556,21453,40512,862,1019,190300,1428,32.2,2017,47300,Visalia-Porterville CA
93301,35561,20471,12345,678,777,171800,1448,32.3,2017,12540,Bakersfield CA
93304,36388,15219,50787,739,893,135400,1126,29.2,2017,12540,Bakersfield CA
93305,31608,12537,39114,665,795,128600,1082,26.1,2017,12540,Bakersfield CA
93306,52512,22344,70208,809,967,178800,1393,30.8,2017,12540,Bakersfield CA
93307,36886,13379,84948,758,933,140100,1170,27.3,2017,12540,Bakersfield CA
93308,44410,22642,54042,803,958,189500,1532,34.1,2017,12540,Bakersfield CA
93309,48742,23410,60893,826,955,184000,1436,31.2,2017,12540,Bakersfield CA
93311,92188,38416,44862,1232,1414,289000,1992,33.5,2017,12540,Bakersfield CA
93312,94308,36983,59359,1375,1584,278200,1849,33.9,2017,12540,Bakersfield CA
93313,72169,23042,51245,1275,1526,224600,1530,29.3,2017,12540,Bakersfield CA
93314,105414,42656,26992,1162,1287,338600,2191,34.6,2017,12540,Bakersfield CA
93401,59160,37818,29108,1210,1298,627900,2408,34.4,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93402,73158,38836,15730,1281,1427,461500,1938,47.4,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93405,44464,18835,35534,1490,1566,640200,2471,21.8,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93420,77887,39410,29940,1161,1290,587500,2311,49.7,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93422,75169,37012,33221,1209,1298,448600,2081,38.7,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
93424,78182,92706,684,1458,1458,656500,1648,67.7,2017,42020,San Luis Obispo-Paso Robles-Arroyo Grand
