MANAME,Zip_count,Population_2014,Population_2019,Population_growth,Affordability_2019,Income_Growth,Weighted_Cost_Change,Affordability_Change,Population_growth_%
San Antonio-New Braunfels TX,103,2242688.0,2475318.0,232630.0,0.2715474295362515,0.15041848116273981,0.15193522773915522,0.019725229108666753,0.10372820472575767
San Diego-Carlsbad CA,91,3154200.0,3285371.0,131171.0,0.3259945873999421,0.22304080926060957,0.12272997339580943,-0.06606249743857978,0.041586139116099166
San Francisco-Oakland-Hayward CA,160,4464644.0,4701286.0,236642.0,0.30332884371378277,0.32089546238209926,0.16502932256633807,-0.09923824068165894,0.0530035541467584
San Jose-Sunnyvale-Santa Clara CA,58,1870718.0,1958914.0,88196.0,0.2872921653450668,0.32638873278156655,0.24176781930494326,-0.055923152823860976,0.04714553449531143
Seattle-Tacoma-Bellevue WA,152,3527075.0,3835227.0,308152.0,0.2720020645322639,0.2657668940856807,0.13854839940721464,-0.09437608643493682,0.08736757795056811
St. Louis MO-IL,225,2840672.0,2848818.0,8146.0,0.24585557119152077,0.15772084239775366,0.0642075001029661,-0.0652298532939943,0.0028676313210395286
Syracuse NY,80,720317.0,709499.0,-10818.0,0.22845976510636562,0.16979683072851204,0.03544867453910664,-0.09932047485255904,-0.015018387737621075
Tampa-St. Petersburg-Clearwater FL,126,2833300.0,3079115.0,245815.0,0.29054404614745527,0.19564925146194578,0.06269798609504626,-0.10576338072284536,0.08675925599124695
Toledo OH,64,661736.0,655940.0,-5796.0,0.22759898771179912,0.17899924253566596,0.011475432000888549,-0.13294461547800743,-0.008758779936409685
Tucson AZ,37,978564.0,1010951.0,32387.0,0.26603506111363356,0.14976215952096805,0.03975086619217201,-0.09104567310833754,0.03309645562272882
Tulsa OK,95,1079049.0,1112119.0,33070.0,0.24436255580310673,0.12866677414944622,0.060655604446730335,-0.05057409024612289,0.03064735707090225
Virginia Beach-Norfolk-Newport News VA-N,80,1668548.0,1687644.0,19096.0,0.27680033340818033,0.13415919063083753,0.028773870672887746,-0.07684685269665029,0.011444681243811984
Washington-Arlington-Alexandria DC-VA-MD,264,5838956.0,6164488.0,325532.0,0.2513479560203835,0.147874969464568,0.07772716148782233,-0.05169951601198409,0.05575174740141902
Worcester MA-CT,94,901750.0,915998.0,14248.0,0.246202432709894,0.1634828783447037,0.036793577675344045,-0.09027505228053906,0.01580038813418353
