Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019,Population Growth,Population Growth %,Change in Income,Change in Income %,Change in Weighted Cost,Change in Weighted Cost %,Change in Affordability,Change in Affordability %
60825.0,24529.0,752.0,879.0,157300.0,1310.0,37,27545,63103.0,28676.0,941.0,1120.0,175300.0,1295.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1163.6324,1236.025,0.22956989395807642,0.23504904679650734,4147.0,0.1690651881446451,2278.0,0.037451705713111384,72.39260000000013,0.06221260253667751,0.005479152838430923,0.023867035628946688
35587.0,24691.0,471.0,689.0,109100.0,1081.0,37,27549,50762.0,26716.0,601.0,813.0,132200.0,1196.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,947.8768,1066.929,0.31962575097648016,0.2522191403018006,2025.0,0.08201368919849338,15175.0,0.42641976002472814,119.05220000000008,0.12559881199750864,-0.06740661067467957,-0.2108923028534072
26786.0,468.0,344.0,569.0,84300.0,931.0,37,27555,31875.0,672.0,575.0,769.0,85400.0,988.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,808.0648,914.1970000000001,0.36200916896886437,0.3441682823529412,204.0,0.4358974358974359,5089.0,0.18998730680206077,106.13220000000013,0.13134119936915967,-0.017840886615923146,-0.04928296890031977
80324.0,24959.0,901.0,1038.0,256100.0,1630.0,37,27560,96830.0,35800.0,1236.0,1386.0,329400.0,1910.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1428.9568,1733.412,0.21347893033215476,0.2148192089228545,10841.0,0.43435233783404786,16506.0,0.20549275434490313,304.4552000000001,0.21306116462023214,0.0013402785906997394,0.00627827106222793
32177.0,602.0,519.0,709.0,128800.0,978.0,37,27568,43889.0,607.0,418.0,608.0,129500.0,1101.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,886.6476,934.8590000000002,0.3306638654939864,0.2556063706167833,5.0,0.008305647840531562,11712.0,0.36398669857351523,48.21140000000014,0.0543749286638797,-0.07505749487720309,-0.22699031466614278
41462.0,7962.0,588.0,827.0,119500.0,1168.0,37,27569,44789.0,7993.0,563.0,825.0,101600.0,1001.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1052.1963999999998,941.6880000000001,0.30452840673387677,0.25229980575587757,31.0,0.003893494096960563,3327.0,0.08024214943803964,-110.50839999999971,-0.10502640001429366,-0.052228600977999196,-0.17150649930546893
81809.0,4773.0,506.0,807.0,246400.0,1717.0,37,27571,118558.0,7407.0,723.0,788.0,312900.0,1889.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1407.964,1517.963,0.206524563312105,0.1536425715683463,2634.0,0.5518541797611565,36749.0,0.4492048552115293,109.99900000000002,0.07812628731984626,-0.05288199174375871,-0.256056668977637
36840.0,16431.0,495.0,753.0,101300.0,1117.0,37,27576,39789.0,18222.0,542.0,841.0,128700.0,1182.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,993.3856000000001,1067.083,0.3235783713355049,0.32182251376008447,1791.0,0.10900127807193719,2949.0,0.08004885993485342,73.69740000000002,0.07418810983368393,-0.0017558575754204053,-0.005426374971149818
41089.0,24453.0,505.0,719.0,137300.0,1187.0,37,27577,48084.0,26875.0,544.0,800.0,151100.0,1198.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1028.0672,1063.874,0.30024596363990363,0.26550386823059646,2422.0,0.09904715167873063,6995.0,0.17024021027525615,35.80680000000007,0.034829240734457895,-0.03474209540930717,-0.11571211478790996
83416.0,56996.0,817.0,978.0,259500.0,1779.0,37,27587,96588.0,68491.0,954.0,1122.0,309200.0,1891.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1506.9804000000001,1631.847,0.21679012179917523,0.20273909802459933,11495.0,0.2016808197066461,13172.0,0.15790735590294427,124.86659999999983,0.08285880824992801,-0.0140510237745759,-0.06481394843069531
